,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,3.9722222222222223,2.7500000000000004,5.194444444444444,6.722222222222222,1.222222222222222,0.0,0.0,7.944444444444445,9.166666666666666,5.680555555555555,2.8611111111111107,5.500000000000001,2.7500000000000004,2.597222222222222,2.597222222222222
NV,1.222222222222222,1.222222222222222,7.638888888888888,9.319444444444445,10.847222222222221,5.500000000000001,2.597222222222222,3.819444444444444,9.319444444444445,8.36111111111111,6.263888888888888,4.236111111111112,7.749999999999998,3.9722222222222223,5.416666666666666
SV,0.0,0.0,5.347222222222222,13.777777777777779,0.0,1.3750000000000002,0.0,2.597222222222222,9.166666666666666,6.875000000000001,2.7500000000000004,2.7500000000000004,2.7500000000000004,3.819444444444444,1.3750000000000002
BV,4.083333333333333,1.4444444444444444,2.8611111111111107,6.986111111111111,2.708333333333333,8.097222222222221,2.597222222222222,2.597222222222222,1.4861111111111112,3.819444444444444,5.305555555555555,5.458333333333334,0.0,9.319444444444445,4.124999999999999
PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.597222222222222,1.3750000000000002,2.8611111111111107,1.222222222222222,0.0,1.3750000000000002,0.0
NBV,2.597222222222222,9.166666666666666,5.305555555555555,8.208333333333332,3.9722222222222223,2.7500000000000004,2.444444444444444,4.124999999999999,6.527777777777779,3.9722222222222223,2.8611111111111107,3.9722222222222223,5.458333333333334,10.500000000000002,2.444444444444444
NPV,4.124999999999999,0.0,0.0,0.0,2.597222222222222,1.3750000000000002,1.3750000000000002,2.597222222222222,4.083333333333333,0.0,2.7500000000000004,0.0,0.0,0.0,4.124999999999999
SBV,0.0,2.8611111111111107,2.597222222222222,2.597222222222222,1.222222222222222,0.0,4.083333333333333,0.0,3.819444444444444,8.01388888888889,7.638888888888888,5.416666666666666,11.916666666666668,10.805555555555554,3.819444444444444
SPV,1.222222222222222,1.4861111111111112,0.0,0.0,0.0,0.0,0.0,3.9722222222222223,0.0,0.0,8.097222222222221,0.0,1.222222222222222,1.3750000000000002,0.11111111111111109
BPV,1.3750000000000002,0.0,1.3750000000000002,0.0,3.9722222222222223,1.222222222222222,1.222222222222222,0.0,0.0,0.0,1.222222222222222,1.222222222222222,0.0,1.3750000000000002,1.3750000000000002
NBPV,1.3750000000000002,2.597222222222222,0.0,1.3750000000000002,1.3750000000000002,0.0,1.222222222222222,12.222222222222223,1.222222222222222,1.3750000000000002,4.124999999999999,1.3750000000000002,1.3750000000000002,1.222222222222222,2.7500000000000004
SBPV,2.597222222222222,0.0,0.0,6.527777777777779,0.0,1.3750000000000002,4.083333333333333,1.222222222222222,3.9722222222222223,1.3750000000000002,0.0,0.0,0.0,0.0,6.569444444444445
